id;creation_time;modification_time;unique_name;email;name;phone;gender;is_email_verified;is_star_user;bio;birth;image_url;nickname;feed_count;follower_count;following_count;google_oauth;naver_oauth;kakao_oauth;password_hash;logout_time
f2e2c087-4ce6-4190-9778-789e88d7f9c5;2021-10-28 03:14:47.958542+00;2021-10-28 03:14:47.958542+00;bok;bok@sindy.in;김효진;010-6866-4135;2;f;f;세상의 모든 디저트를 정복할꺼야!;1997-06-10;https://storage.googleapis.com/sobok/%EA%B9%80%ED%9A%A8%EC%A7%84.webp;묘진;0;0;0;;;;$2a$10$NJ3fjKrUx3rYz1YXGPFfPOz4uLkXId3VD23gKbtxBMeECxMWeYjh.;2021-10-28 03:14:47.958542+00
3393152d-e3ca-451e-9893-888112f482e9;2021-10-28 03:14:47.958542+00;2021-10-28 03:14:47.958542+00;bok2;bok2@sindy.in;곽태욱;010-9203-2837;1;f;f;크로플 같은 남자;1998-04-12;https://storage.googleapis.com/sobok/%EA%B3%BD%ED%83%9C%EC%9A%B1.webp;크로플홀릭;0;0;0;;;;$2a$10$NJ3fjKrUx3rYz1YXGPFfPOz4uLkXId3VD23gKbtxBMeECxMWeYjh.;2021-10-28 03:14:47.958542+00
8422cff9-5423-44ea-bf0f-d82457cda4c9;2021-10-28 03:14:47.958542+00;2021-10-28 03:14:47.958542+00;bok3;bok3@sindy.com;박수현;010-4536-7393;2;f;f;대구의 모든 맛집!;1997-05-05;https://storage.googleapis.com/sobok/%EB%B0%95%EC%88%98%ED%98%84.webp;디자이너;0;0;0;;;;$2a$10$NJ3fjKrUx3rYz1YXGPFfPOz4uLkXId3VD23gKbtxBMeECxMWeYjh.;2021-10-28 03:14:47.958542+00
96053f94-d1c2-40d3-bad0-0ba235ccb562;2021-10-28 03:14:47.958542+00;2021-10-28 03:14:47.958542+00;bok4;bok4@sindy.com;김민호;010-7644-5980;1;f;f;디저트에 빠진 자취남(자아도취남);1996-09-12;https://storage.googleapis.com/sobok/%EA%B9%80%EB%AF%BC%ED%98%B8.webp;논;0;0;0;;;;$2a$10$NJ3fjKrUx3rYz1YXGPFfPOz4uLkXId3VD23gKbtxBMeECxMWeYjh.;2021-10-28 03:14:47.958542+00
4751a1fd-7aae-4879-8e4d-d72e36c4a59b;2021-10-28 03:14:47.958542+00;2021-10-28 03:14:47.958542+00;bok5;bok5@sindy.com;기현우;010-2563-6996;1;f;f;아재입맛, 집 근처만 다닙니다;1995-01-14;https://storage.googleapis.com/sobok/%EA%B8%B0%EC%9A%B0%ED%98%84.webp;문신충;0;0;0;;;;$2a$10$NJ3fjKrUx3rYz1YXGPFfPOz4uLkXId3VD23gKbtxBMeECxMWeYjh.;2021-10-28 03:14:47.958542+00
7e99c574-0b3a-4002-be13-657caaa05de2;2021-10-28 03:14:47.958542+00;2021-10-28 03:14:47.958542+00;bok6;bok6@sindy.com;김진효;010-4135-6866;2;f;f;디저트 조아해요;1997-10-16;https://storage.googleapis.com/sobok/%EA%B9%80%EC%A7%84%ED%9A%A8.webp;지뇨;0;0;0;;;;$2a$10$NJ3fjKrUx3rYz1YXGPFfPOz4uLkXId3VD23gKbtxBMeECxMWeYjh.;2021-10-28 03:14:47.958542+00
3b608f0e-fe85-4c3b-b3b8-ef5fed601599;2021-10-28 03:14:47.958542+00;2021-10-28 03:14:47.958542+00;bok7;bok7@sindy.com;곽욱태;010-6827-9124;1;f;f;유당불내증. 두유 커피가 최고!;1997-10-06;https://storage.googleapis.com/sobok/%EA%B3%BD%EC%9A%B1%ED%83%9C.webp;욱욱;0;0;0;;;;$2a$10$NJ3fjKrUx3rYz1YXGPFfPOz4uLkXId3VD23gKbtxBMeECxMWeYjh.;2021-10-28 03:14:47.958542+00
b7cade77-9ebe-4ebe-b9d8-b18f854fbdf6;2021-10-28 03:14:47.958542+00;2021-10-28 03:14:47.958542+00;bok8;bok8@sindy.com;박현수;010-7869-3665;2;f;f;그곳에 마카롱이 있다면 어디든!;1998-12-04;https://storage.googleapis.com/sobok/%EB%B0%95%ED%98%84%EC%88%98.webp;강남러;0;0;0;;;;$2a$10$NJ3fjKrUx3rYz1YXGPFfPOz4uLkXId3VD23gKbtxBMeECxMWeYjh.;2021-10-28 03:14:47.958542+00
678a683b-98e7-4c9e-9750-05272515aee4;2021-10-28 03:14:47.958542+00;2021-10-28 03:14:47.958542+00;bok9;bok9@sindy.com;김호민;010-5980-7644;1;f;f;주호민 아니고 김호민;1997-05-05;https://storage.googleapis.com/sobok/%EA%B9%80%ED%98%B8%EB%AF%BC.webp;주호민;0;0;0;;;;$2a$10$NJ3fjKrUx3rYz1YXGPFfPOz4uLkXId3VD23gKbtxBMeECxMWeYjh.;2021-10-28 03:14:47.958542+00
75150c05-2782-4017-919a-9a1685ffd0b3;2021-10-28 03:14:47.958542+00;2021-10-28 03:14:47.958542+00;bok10;bok10@sindy.com;기우현;010-2395-6730;1;f;f;내마음이 기우는 곳으로.;1996-12-09;https://storage.googleapis.com/sobok/%EA%B8%B0%ED%98%84%EC%9A%B0.webp;직녀;0;0;0;;;;$2a$10$NJ3fjKrUx3rYz1YXGPFfPOz4uLkXId3VD23gKbtxBMeECxMWeYjh.;2021-10-28 03:14:47.958542+00
